ligand,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),Ki_estimated (uM)
Ligand_control_AF7,1,-9.824,6.39E-08,0.06
Ligand_5,1,-7.227,5.10E-06,5.1
Ligand_14,1,-7.154,5.76E-06,5.76
Ligand_6,1,-7.116,6.14E-06,6.14
Ligand_15,1,-7.096,6.36E-06,6.36
Ligand_3,1,-7.041,6.97E-06,6.97
Ligand_7,1,-6.879,9.16E-06,9.16
Ligand_12,1,-6.787,1.07E-05,10.7
Ligand_13,1,-6.762,1.12E-05,11.2
Ligand_8,1,-6.757,1.13E-05,11.3
Ligand_4,1,-6.722,1.19E-05,11.9
Ligand_1,1,-6.669,1.31E-05,13.1
Ligand_18,1,-6.607,1.45E-05,14.5
Ligand_19,1,-6.527,1.66E-05,16.6
Ligand_9,1,-6.492,1.76E-05,17.6
Ligand_20,1,-6.477,1.81E-05,18.1
Ligand_11,1,-6.338,2.28E-05,22.8
Ligand_17,1,-6.213,2.82E-05,28.2
Ligand_10,1,-6.205,2.86E-05,28.6
Ligand_16,1,-6.081,3.52E-05,35.2
Ligand_2,1,-5.68,6.92E-05,69.2
